SOUTH    3 STREET,|['KENT AVENUE', 'WYTHE AVENUE']|
HANSON PLACE,|['SOUTH PORTLAND AVENUE', 'SOUTH OXFORD STREET']|
BEACH   97 STREET,|['ROCKAWAY BEACH BOULEVARD', 'SHORE FRONT PARKWAY']|
FORREST STREET,|['CENTRAL AVENUE', 'FLUSHING AVENUE']|
HANCOCK STREET,|['GARRETSON AVENUE', 'CROMWELL AVENUE']|
23 TERRACE,|['21 STREET', '23 STREET']|
ROBERGE PLACE,|['WEST    3 STREET', 'WEST    5 STREET']|
NEW LOTS AVENUE,|['LIVONIA AVENUE', 'ASHFORD STREET']|
NASSAU BOULEVARD,|['256 STREET', 'LITTLE NECK PARKWAY']|
WALDORF COURT,|['RUGBY ROAD', 'DEAD END']|
WILLARD AVENUE,|['SPRINGFIELD AVENUE', 'MAINE AVENUE']|
WEST  115 STREET,|['FRED DOUGLASS BOULEVARD', 'MANHATTAN AVENUE']|
BEHAN COURT,|['BEACH AVENUE', 'BEHAN COURT']|
195 LANE,|['69 AVENUE', '67 AVENUE']|
BEACH   93 STREET,|['HOLLAND AVENUE', 'SHORE FRONT PARKWAY']|
IVY COURT,|['BALSAM PLACE', 'BALSAM PLACE']|
84 STREET            *E RDWY,|['90 ROAD', '91 AVENUE']|
KESSEL STREET,|['71 AVENUE', '70 AVENUE']|
DOANE AVENUE,|['DEAD END', 'DEAD END']|
18 STREET,|['20 ROAD', '20 AVENUE']|
KINGS HIGHWAY          *E S/R,|['FOSTER AVENUE', 'PRESTON COURT']|
WEST STREET            *E RDWY,|['VESEY STREET', 'BARCLAY STREET']|
ELDERT              LA,|['93                    AV', '91                    AV']|
BEEKMAN AVENUE,|['SAINT MARYS STREET', 'EAST  141 STREET']|
PRESCOTT AVENUE,|['KRUSER STREET', 'RICHMOND ROAD']|
WOODRUFF LANE,|['ALASKA STREET', 'BARKER STREET']|
PEARTREE AVENUE        *W RDWY,|['GIVAN AVENUE', 'COOP CITY BOULEVARD']|
SHORE PARKWAY          *S,|['BRIGHTON    3 STREET', 'BRIGHTON    6 STREET']|
76 AVENUE,|['VLEIGH PLACE', 'MAIN STREET']|
MARYLAND ROAD,|['HANFORD STREET', 'DOUGLASTON PARKWAY']|
WHITE PLAINS ROAD      *W,|['EAST  212 STREET', 'EAST GUN HILL ROAD']|
GIEGERICH AVENUE,|['DEAD END', 'BEDELL AVENUE']|
WHITE PLAINS ROAD      *S,|['WHITE PLAINS ROAD      *N', 'EAST  216 STREET']|
CHESTER STREET,|['LIVONIA AVENUE', 'DUMONT AVENUE']|
PARK CRESCENT,|['DEAD END', '86 ROAD']|
PARK LANE SOUTH,|['94 STREET', 'WOODHAVEN BOULEVARD']|
WHITE PLAINS ROAD      *E RDWY,|['EAST  214 STREET', 'EAST  215 STREET']|
PLIMPTON AVENUE,|['WEST  172 STREET', 'EDWARD L GRANT HIGHWAY']|
ST JAMES AVENUE,|['POYER STREET', 'QUEENS BOULEVARD']|
CHANNEL AVENUE,|['DEAD END', 'EBONY COURT']|
EAST    1 STREET,|['2 AVENUE', 'BOWERY']|
LYNHURST AVENUE,|['BAY STREET', 'EDGEWATER STREET']|
PAERDEGAT    6 STREET,|['EAST   80 STREET', 'PAERDEGAT AVENUE NORTH']|
CASE STREET,|['ELMHURST AVENUE', 'WHITNEY AVENUE']|
CARPENTER AVENUE,|['JAMAICA AVENUE', 'HIAWATHA AVENUE']|
RICHMOND HILL ROAD,|['COUNTRY DRIVE WEST', 'RICHMOND AVENUE']|
262 STREET,|['80 AVENUE', '81 AVENUE']|
BEACH   52 STREET,|['DEAD END', 'EDGEMERE AVENUE']|
LITTLE WEST   12 STREET,|['WEST STREET', 'DEAD END']|
OVERBAUGH PLACE,|['KINGS HIGHWAY', 'FLATBUSH AVENUE']|
NORTH   14 STREET,|['WYTHE AVENUE', 'BERRY STREET']|
HORACE COURT,|['DEAD END', 'SHERMAN STREET']|
ADAMS STREET           *W SRVC,|['RED CROSS PLACE', 'TILLARY STREET']|
QNS MIDTOWN EXPRESSWAY *S SR,|['58 AVENUE', '69 PLACE']|
HARDY STREET,|['IRVING PLACE', 'PRINCE STREET']|
EARLEY STREET,|['CITY ISLAND AVENUE', 'DEAD END']|
LAKE PLACE,|['WEST   10 STREET', 'WEST   11 STREET']|
FANNING STREET,|['SOUTH GANNON AVENUE', 'WESTWOOD AVENUE']|
TURNBULL AVENUE,|['OLMSTEAD AVENUE', 'PUGSLEY AVENUE']|
123 AVENUE,|['141 STREET', '142 STREET']|
MONTGOMERY PLACE,|['PROSPECT PARK WEST', '8 AVENUE']|
DYER AVENUE,|['WEST   41 STREET', 'WEST   42 STREET']|
RIDGE AVENUE,|['VISTA AVENUE', 'SPARKILL AVENUE']|
NORTH   10 STREET,|['UNION AVENUE', 'ROEBLING STREET']|
PARK AVENUE            *W S/R,|['EAST  180 STREET', 'EAST  179 STREET']|
BEACH  118 STREET,|['NEWPORT AVENUE', 'BEACH CHANNEL DRIVE']|
3 STREET,|['ROSS AVENUE', 'ROSE AVENUE']|
B   53 STREET,|['BEACH CHANNEL DRIVE', 'ROCKAWAY BEACH BOULEVARD']|
15 DRIVE,|['150 PLACE', 'CROSS ISLAND PARKWAY']|
146 TERRACE,|['181 STREET', 'GUY BREWER BOULEVARD']|
SHARON AVENUE,|['REVERE STREET', 'FOREST AVENUE']|
COTTAGE PLACE,|['NEW STREET', 'BENNETT STREET']|
MILLER STREET,|['33 AVENUE', '32 AVENUE']|
